Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000157911,PEX10,0.050294834879483157,0.01879278808662832,1.0,0.048296594114457643,-0.067684007658304068,1.0,0.053772061155915381,0.15717503056838655,0.8719906230131852,0.0,-1.1013606627731232,1.0
ENSG00000149527,PLCH2,0.010822939151281186,-0.26971230526328327,0.83949462802752217,0.0,-4.8160685647812196,3.483194862172571e-07,0.03136703567428397,2.4552563835013821,8.5365919044610553e-06,0.0,0.88496440032979962,1.0
ENSG00000157881,PANK4,0.0178260174256396,-0.21908623219331513,0.85954178188176267,0.022078443023752066,0.25580629099934082,0.74447854905559863,0.020612623443100896,0.10948154665965149,1.0,0.0,0.22056743211423857,1.0
ENSG00000272449,RP3-395M20.12,0.065574278387174237,-0.26971230526328327,0.66488337888899363,0.060025766970825928,-0.43607141363832724,0.37561699573394769,0.10306311721550449,0.69852753451374561,0.11755201201333909,0.12116197887993593,0.94045951292150365,1.0
ENSG00000238164,RP3-395M20.8,0.01273286958974257,-0.047319883926835615,1.0,0.0089693674783992757,-0.70705794286251322,0.38047484949662341,0.018820221404570382,0.78540498519371216,0.33973612885395571,0.024232395775987188,1.8315251413683393,1.0
ENSG00000157873,TNFRSF14,0.50549492271278007,0.053350429903475161,0.97947162234273644,0.44501861719750258,-0.22443296991613948,0.66977087216375608,0.55205982786739793,0.22354118309387006,0.67562296322949256,0.21809156198388469,-1.0708115994135166,1.0
ENSG00000228037,RP3-395M20.9,0.00063664347948712849,1.7302876947367167,0.6071474488021481,0.0,-0.088148110218019937,1.0,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000157870,FAM213B,0.014642800028203956,-0.29945964865733465,0.77787772609526229,0.0172487836123063,0.057702756245435083,1.0,0.017924020385305127,0.14713408813905016,0.97002769087880014,0.072697187327961557,2.5043603981148306,0.69386641372713964
ENSG00000142606,MMEL1,0.0050931478358970279,-1.3092406694499203,0.10747441641589094,0.02000858899027531,1.8187424853904988,0.0045426385491299653,0.0062734071348567941,-0.79267112994220401,0.5346076159617158,0.0,1.1210317585633245,1.0
ENSG00000215912,TTC34,0.001273286958974257,-0.0066778994294907079,1.0,0.002069854033476756,0.91185188978198006,0.6682632047360243,0.00089620101926525639,-0.12970611721977399,1.0,0.0,3.8055299328353955,1.0
ENSG00000142611,PRDM16,0.0,-0.26971230526328327,1.0,0.0,-0.088148110218019937,1.0,0.00089620101926525639,2.4552563835013821,0.52752524719320759,0.0,5.6128848548929993,1.0
ENSG00000162591,MEGF6,0.019735947864100985,2.1453251940155598,0.00043254334063015421,0.007589464789414772,-0.50318560949686297,0.61101135335171231,0.0,-3.9710083712007158,0.00039992039130870734,0.0,1.1866201001909014,1.0
ENSG00000238260,RP11-46F15.2,0.00063664347948712849,1.7302876947367167,0.6071474488021481,0.0,-0.088148110218019937,1.0,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000158109,TPRG1L,0.031195530494869297,-0.18044496716619651,0.84141837550804988,0.028977956468674584,-0.32009483826771667,0.64843952343031441,0.043913849943997559,0.54452372159846885,0.38422461803155128,0.048464791551974376,1.0582960032153621,1.0
ENSG00000116213,WRAP73,0.057934556633328693,-0.14702978548845502,0.87767906438672438,0.055196107559380161,-0.24015120366306997,0.71557047554369513,0.078865689695342564,0.50472505976568138,0.32807823921778612,0.0,-1.4094829581354555,1.0
ENSG00000227589,RP5-1092A11.5,0.0,-0.26971230526328327,1.0,0.00068995134449225206,1.9118518897819801,0.5420767710240606,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000227372,TP73-AS1,0.019099304384613856,0.36255591023622991,0.6958668555367481,0.012419124200860537,-0.54066031491552646,0.5159014495609674,0.018820221404570382,0.29997815802347017,0.81501816850502151,0.0,0.48360183794803291,1.0
ENSG00000235169,SMIM1,0.030558887015382168,1.3908012284650493,0.023808852714718352,0.012419124200860537,-0.77095793433732052,0.35079298508836276,0.0062734071348567941,-1.714668617940931,0.056004313799541662,0.12116197887993593,2.9883939899852057,0.32101462169939632
ENSG00000130764,LRRC47,0.082127008853839584,-0.041760358584935098,1.0,0.079344404616608979,-0.1128101644522892,0.92933295794691151,0.094101107022851918,0.24066233272534099,0.71676607475048792,0.024232395775987188,-0.83832625693932972,1.0
ENSG00000116198,CEP104,0.045838330523073255,-0.010625083946152358,1.0,0.040707129325042869,-0.25807311166033209,0.72435001901496154,0.053772061155915381,0.31990453060649582,0.63463878480397462,0.048464791551974376,0.61288485489299971,1.0
ENSG00000169598,DFFB,0.023555808741023754,0.25029475361710318,0.77923595473281349,0.016558832267814048,-0.48868603980174807,0.4759204360529109,0.023301226500896666,0.21014388566485032,0.88624175834259178,0.048464791551974376,1.7384157369768585,1.0
ENSG00000198912,C1orf174,0.046474974002560385,-1.2251658663100216,0.0018601945100455361,0.061405669659810432,-0.67844405524221685,0.12212740416768041,0.16131618346774615,1.4632491742549121,5.1111088725121867e-05,0.41195072819178219,2.3607450901624993,0.15356459291557081
ENSG00000236423,LINC01134,0.0,-2.0770672273208888,0.3253013266282937,0.00068995134449225206,-0.67311061093917601,0.87994915440478116,0.00089620101926525639,-0.12970611721977399,1.0,0.096929583103948752,7.3498504490592058,0.0029530775890240757
ENSG00000196581,AJAP1,0.001273286958974257,2.3152501954578728,0.32910885030376152,0.0,-0.67311061093917601,0.74447854905559863,0.0,-0.12970611721977399,1.0,0.0,5.0279223541718432,1.0
ENSG00000236948,RP11-154H17.1,0.0044565043564098999,2.7302876947367167,0.031432640431904434,0.0,-2.2580731116603321,0.1624694234427867,0.00089620101926525639,-0.54474361649861791,0.92810948792269632,0.0,3.4429598534506871,1.0
ENSG00000131697,NPHP4,0.0044565043564098999,-1.3989953222082505,0.072980178608253704,0.015868880923321796,1.2488868770595509,0.057449681830380239,0.0098582112119178205,0.086022573835663252,1.0,0.0,1.2205674321142386,1.0
ENSG00000069424,KCNAB2,0.15279443507691085,-1.1528625778630919,0.00085533576880549727,0.27805039183037755,0.066237634538024004,0.93803357138432841,0.43196889128585358,1.0335138603446472,0.0026807411887018401,0.072697187327961557,-1.5241062571872301,1.0
ENSG00000116251,RPL22,11.439846682904212,0.72635915542272844,0.024054463164395364,7.3341827919526388,-0.34231176431674237,0.40814325679350427,6.5933508987344913,-0.50493609555717089,0.27611811717137547,0.75120426905560278,-3.5211001821698171,1.0
ENSG00000158286,RNF207,0.0019099304384613855,0.40835959984935322,0.91225290704235651,0.002069854033476756,0.58992379489461833,0.8729809522594365,0.00089620101926525639,-0.35209853855622164,0.92274929577740328,0.0,3.6128848548929993,1.0
ENSG00000116237,ICMT,0.030558887015382168,-1.0213246753938909,0.020660457990330224,0.047606642769965388,-0.12879009471536573,0.91745333527849438,0.085139096830199351,1.1575758348606966,0.0056689522205328217,0.0,-1.121824765332839,1.0
ENSG00000158292,GPR153,0.0,-2.7291439239005815,0.076476700746186677,0.0027598053779690082,0.42642506261173807,0.91443670059161586,0.0053772061155915379,1.9406832106716241,0.1243928510678393,0.0,3.1534532362557011,1.0
ENSG00000097021,ACOT7,0.014006156548716828,-1.2380034455359459,0.01860943658886546,0.010349270167383781,-1.6880609524051478,0.0011310514631229355,0.064526473387098451,2.3231528474940362,7.8853980782348501e-08,0.048464791551974376,1.4164876420894958,1.0
ENSG00000271746,RP1-202O8.3,0.003819860876922771,0.3677176153520092,0.97637081948551263,0.0027598053779690082,-0.22565163396795551,0.95824081000325734,0.0035848040770610256,0.3177528597514474,1.0,0.0,2.7059942592844797,1.0
ENSG00000187017,ESPN,0.0070030782743584138,4.3152501954578737,0.00034778412242556829,0.0,-2.6731106109391769,0.047367806495899861,0.0,-2.129706117219774,0.1785656025403829,0.0,3.0279223541718432,1.0
ENSG00000215788,TNFRSF25,0.1095026784717861,1.9554625567444917,3.2296056229070265e-08,0.0089693674783992757,-3.144979332814696,1.8149401227060665e-11,0.053772061155915381,-0.153165090043764,0.96121779512844263,0.0,-1.3296296504462406,1.0
ENSG00000171680,PLEKHG5,0.0089130087128197998,3.6371782903452354,0.0003181159892597498,0.0,-3.0881481102180199,0.015311918234490551,0.00089620101926525639,-1.4516342121071366,0.40553011103625192,0.0,2.6128848548929993,1.0
ENSG00000162408,NOL9,0.060481130551277212,0.33797027195795692,0.55068478119025011,0.039327226636058366,-0.58771911970853097,0.23533534362805769,0.060045468290772175,0.27593268405682014,0.68619128100023508,0.024232395775987188,-0.16847485863166067,1.0
ENSG00000204859,ZBTB48,0.035015391371792069,-0.33272210278908343,0.61082946153459261,0.041397080669535125,0.035234305287262124,1.0,0.050187257078854353,0.43016540253855151,0.5049676678570566,0.0,-0.81337989980909864,1.0
ENSG00000162413,KLHL21,0.015916086987178214,-0.52346889750906644,0.45672856118441796,0.022078443023752066,0.17488629561577351,0.83804910051041537,0.025989829558692435,0.50416598398232804,0.52752524719320759,0.0,0.16994135904427043,1.0
ENSG00000116273,PHF13,0.0089130087128197998,-1.1701766317123692,0.071605119867927142,0.021388491679259814,0.62644967091973136,0.33920706945126916,0.021508824462366152,0.5755506172190934,0.51917447228959079,0.0,0.48360183794803291,1.0
ENSG00000041988,THAP3,0.023555808741023754,-0.30718701068194587,0.69621068268771624,0.024148297057228821,-0.24015120366306952,0.76615905926569183,0.037640442809140764,0.6916965793234624,0.25476591756194322,0.0,-0.23260519605137642,1.0
ENSG00000007923,DNAJC11,0.036288678330766329,0.21322925851736407,0.76758243303904461,0.030357859157659088,-0.18125751460950212,0.84153063387921045,0.034055638732079743,0.068233260392133843,1.0,0.0,-0.51639816205196709,1.0
